# SKU Power Limit Table (unit is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,RU26,,,,,,,,,,,,RU52,,,,,,,,,,,,RU106,,,,,,,,,,,,RU242,,,,,,,,,,,,RU484,,,,,,,,,,,,RU996,,,,,,,,,,,,RU996X2,,,,,,,,,,,
Band: 2.4G,CCK_1M,CCK_2M,CCK_5.5M,CCK_11M,OFDM_6M,OFDM_9M,OFDM_12M,OFDM_18M,OFDM_24M,OFDM36M,OFDM_48M,OFDM_54M,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,HT40_MCS32,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11
Ch11,17.5,17.5,17.5,17.5,16,16,16,16,16,16,16,16,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17
Ch13,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Ch14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 5G Channel,CCK,,,,OFDM,,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,RU26,,,,,,,,,,,,RU52,,,,,,,,,,,,RU106,,,,,,,,,,,,RU242,,,,,,,,,,,,RU484,,,,,,,,,,,,RU996,,,,,,,,,,,,RU996X2,,,,,,,,,,,
Band: 5G,CCK_1M,CCK_2M,CCK_5.5M,CCK_11M,OFDM_6M,OFDM_9M,OFDM_12M,OFDM_18M,OFDM_24M,OFDM36M,OFDM_48M,OFDM_54M,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,HT40_MCS32,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11
Ch184,23.5,23.5,23.5,23.5,23,23,23,23,22.5,22.5,21.5,20.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,20,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5
Ch188,23.5,23.5,23.5,23.5,23,23,23,23,22.5,22.5,21.5,20.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,20,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5
Ch192,23.5,23.5,23.5,23.5,23,23,23,23,22.5,22.5,21.5,20.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,20,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5
Ch196,23.5,23.5,23.5,23.5,23,23,23,23,22.5,22.5,21.5,20.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,20,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5
Ch8,23.5,23.5,23.5,23.5,23,23,23,23,22.5,22.5,21.5,20.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,20,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5
Ch12,23.5,23.5,23.5,23.5,23,23,23,23,22.5,22.5,21.5,20.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,20,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5
Ch16,23.5,23.5,23.5,23.5,23,23,23,23,22.5,22.5,21.5,20.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,20,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5
Ch36,23.5,23.5,23.5,23.5,23,23,23,23,22.5,22.5,21.5,20.5,22.5,22.5,22.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,20,20,20,20,20,20,20,20,19,19,17.5,17.5,20,17,17,17,17,17,17,17,17,17,17,17,17,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,22,22,22,22,22,21.5,20.5,20,19,19,17.5,17.5,22,22,22,22,22,21.5,20.5,20,19,19,17.5,17.5,22,22,22,22,22,21.5,20.5,20,19,19,17.5,17.5,22,22,22,22,22,21.5,20.5,20,19,19,17.5,17.5,19,19,19,19,19,19,19,19,19,19,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5
Ch40,23.5,23.5,23.5,23.5,23,23,23,23,22.5,22.5,21.5,20.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,20,17,17,17,17,17,17,17,17,17,17,17,17,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23,23,23,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23,23,23,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23,23,23,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23,23,23,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23,23,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5
Ch44,23.5,23.5,23.5,23.5,23,23,23,23,22.5,22.5,21.5,20.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,20,17,17,17,17,17,17,17,17,17,17,17,17,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23,23,23,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23,23,23,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23,23,23,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23,23,23,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23,23,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5
Ch48,23.5,23.5,23.5,23.5,23,23,23,23,22.5,22.5,21.5,20.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,20,17,17,17,17,17,17,17,17,17,17,17,17,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23,23,23,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23,23,23,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23,23,23,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23,23,23,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,23,23,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,23.5,23.5,23.5,22.5,22.5,21.5,20.5,20,19,19,17.5,17.5
Ch52,21,21,21,21,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17,17,17,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,19,19,17.5,17.5,19,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,21,21,21,21,21,21,20.5,20,19,19,17.5,17.5,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,20,20,20,20,20,20,20,20,19,19,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,21,21,21,21,21,21,20.5,20,19,19,17.5,17.5
