# Single SKU Max Power Table (unit is 1 dBm)                                                       
# 2.4G Channel CCK    OFDM        VHT20          VHT40          TxStreamCapability_Delta   TxSpatialStream_Delta                   
Band: 2.4G CCK_1M CCK_2M CCK_5.5M CCK_11M OFDM_6M OFDM_9M OFDM_12M OFDM_18M OFDM_24M OFDM_36M OFDM_48M OFDM_54M VHT20_MCS0 VHT20_MCS1 VHT20_MCS2 VHT20_MCS3 VHT20_MCS4 VHT20_MCS5 VHT20_MCS6 VHT20_MCS7 VHT20_MCS8 VHT20_MCS9 VHT40_MCS0 VHT40_MCS1 VHT40_MCS2 VHT40_MCS3 VHT40_MCS4 VHT40_MCS5 VHT40_MCS6 VHT40_MCS7 VHT40_MCS8 VHT40_MCS9 Txstream_3T Txstream_2T Txstream_1T Txstream_1SS Txstream_2SS Txstream_3SS Txstream_4SS                
Ch1 14  14  15  15  15  15 15 15 15  15  15  15 15 15 15 15  15  15  15 15 15 1 3 6 6 3 1 0                
Ch2 14  14  15  15  15  15 15 15 15  15  15  15 15 15 15 15  15  15  15 15 15 1 3 6 6 3 1 0                
Ch3 14  14  15  15  15  15 15 15 15  15  15  15 15 15 15 15  15  15  15 15 15 1 3 6 6 3 1 0                
Ch4 14  14  15  15  15  15 15 15 15  15  15  15 15 15 15 15  15  15  15 15 15 1 3 6 6 3 1 0                
Ch5 14  14  15  15  15  15 15 15 15  15  15  15 15 15 15 15  15  15  15 15 15 1 3 6 6 3 1 0                
Ch6 14  14  15  15  15  15 15 15 15  15  15  15 15 15 15 15  15  15  15 15 15 1 3 6 6 3 1 0                
Ch7 14  14  15  15  15  15 15 15 15  15  15  15 15 15 15 15  15  15  15 15 15 1 3 6 6 3 1 0                
Ch8 14  14  15  15  15  15 15 15 15  15  15  15 15 15 15 15  15  15  15 15 15 1 3 6 6 3 1 0                
Ch9 14  14  15  15  15  15 15 15 15  15  15  15 15 15 15 15  15  15  15 15 15 1 3 6 6 3 1 0                
Ch10 14  14  15  15  15  15 15 15 15  15  15  15 15 15 15 15  15  15  15 15 15 1 3 6 6 3 1 0                
Ch11 14  14  15  15  15  15 15 15 15  15  15  15 15 15 15 15  15  15  15 15 15 1 3 6 6 3 1 0                
Ch12 14  14  15  15  15  15 15 15 15  15  15  15 15 15 15 15  15  15  15 15 15 1 3 6 6 3 1 0                
Ch13 14  14  15  15  15  15 15 15 15  15  15  15 15 15 15 15  15  15  15 15 15 1 3 6 6 3 1 0                
Ch14 14  14  15  15  15  15 15 15 15  15  15  15 15 15 15 15  15  15  15 15 15 1 3 6 6 3 1 0                
                                                       
# 5G Channel OFDM        VHT20          VHT40          VHT80          VHT160          Txstream_Delta   TxSpatialStream_Delta   
Band: 5G OFDM_6M OFDM_9M OFDM_12M OFDM_18M OFDM_24M OFDM_36M OFDM_48M OFDM_54M VHT20_MCS0 VHT20_MCS1 VHT20_MCS2 VHT20_MCS3 VHT20_MCS4 VHT20_MCS5 VHT20_MCS6 VHT20_MCS7 VHT20_MCS8 VHT20_MCS9 VHT40_MCS0 VHT40_MCS1 VHT40_MCS2 VHT40_MCS3 VHT40_MCS4 VHT40_MCS5 VHT40_MCS6 VHT40_MCS7 VHT40_MCS8 VHT40_MCS9 VHT80_MCS0 VHT80_MCS1 VHT80_MCS2 VHT80_MCS3 VHT80_MCS4 VHT80_MCS5 VHT80_MCS6 VHT80_MCS7 VHT80_MCS8 VHT80_MCS9 VHT160_MCS0 VHT160_MCS1 VHT160_MCS2 VHT160_MCS3 VHT160_MCS4 VHT160_MCS5 VHT160_MCS6 VHT160_MCS7 VHT160_MCS8 VHT160_MCS9 Txstream_3T Txstream_2T Txstream_1T Txstream_1SS Txstream_2SS Txstream_3SS Txstream_4SS
Ch184 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch188 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch192 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch196 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch8 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch12 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch16 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch36 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch40 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch44 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch48 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch52 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch56 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch60 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch64 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch68 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch72 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch76 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch80 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch84 18  18  18  18 18 18 18  18  18  18 18 18 18 81  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch88 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch92 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch96 18  18  18  18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18 18 18  18  18  18 18 18           1 3 6 6 3 1 0
Ch100 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
Ch104 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
Ch108 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
Ch112 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
Ch116 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
Ch120 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
Ch124 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
Ch128 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
Ch132 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
Ch136 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
Ch140 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
Ch144 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
Ch149 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
Ch153 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
Ch157 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
Ch161 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
Ch165 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
Ch169 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
Ch173 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
Ch177 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
Ch181 23  23  22  20 20 23 23  22  21  20 19 19 22 22  21  21  20 19 19 22 22  21  21  20 19 19           1 3 6 6 3 1 0
