# Target Power Table
#    |CCK 1~11 | |    OFDM 6 ~ 54      | |             HT20 MCS 0 ~ 15                 | |             HT40 MCS 0 ~ 15                 |
ch1  18 18 18 18 17 17 17 17 17 17 17 17 17 17 17 17 17 17 16 16 17 17 17 17 17 17 16 16
ch2  18 18 18 18 17 17 17 17 17 17 17 17 17 17 17 17 17 17 16 16 17 17 17 17 17 17 16 16
ch3  18 18 18 18 17 17 17 17 17 17 17 17 17 17 17 17 17 17 16 16 17 17 17 17 17 17 16 16 16 16 16 16 16 16 15 15 16 16 16 16 16 16 15 15
ch4  18 18 18 18 17 17 17 17 17 17 17 17 17 17 17 17 17 17 16 16 17 17 17 17 17 17 16 16 16 16 16 16 16 16 15 15 16 16 16 16 16 16 15 15
ch5  18 18 18 18 17 17 17 17 17 17 17 17 17 17 17 17 17 17 16 16 17 17 17 17 17 17 16 16 16 16 16 16 16 16 15 15 16 16 16 16 16 16 15 15
ch6  18 18 18 18 17 17 17 17 17 17 17 17 17 17 17 17 17 17 16 16 17 17 17 17 17 17 16 16 16 16 16 16 16 16 15 15 16 16 16 16 16 16 15 15
ch7  18 18 18 18 17 17 17 17 17 17 17 17 17 17 17 17 17 17 16 16 17 17 17 17 17 17 16 16 16 16 16 16 16 16 15 15 16 16 16 16 16 16 15 15
ch8  18 18 18 18 17 17 17 17 17 17 17 17 17 17 17 17 17 17 16 16 17 17 17 17 17 17 16 16 16 16 16 16 16 16 15 15 16 16 16 16 16 16 15 15
ch9  18 18 18 18 17 17 17 17 17 17 17 17 17 17 17 17 17 17 16 16 17 17 17 17 17 17 16 16 16 16 16 16 16 16 15 15 16 16 16 16 16 16 15 15
ch10 18 18 18 18 17 17 17 17 17 17 17 17 17 17 17 17 17 17 16 16 17 17 17 17 17 17 16 16 16 16 16 16 16 16 15 15 16 16 16 16 16 16 15 15
ch11 18 18 18 18 17 17 17 17 17 17 17 17 17 17 17 17 17 17 16 16 17 17 17 17 17 17 16 16 16 16 16 16 16 16 15 15 16 16 16 16 16 16 15 15
ch12 18 18 18 18 17 17 17 17 17 17 17 17 17 17 17 17 17 17 16 16 17 17 17 17 17 17 16 16
ch13 18 18 18 18 17 17 17 17 17 17 17 17 17 17 17 17 17 17 16 16 17 17 17 17 17 17 16 16
ch14 18 18 18 18
# End of Target Table
