# Backoff Power Limit Table (unit is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Ch8,23,20,0,0,23,20,0,0,16,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0
Ch12,23,20,0,0,23,20,0,0,16,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0
Ch16,23,20,0,0,23,20,0,0,16,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0
Ch36,23,20,0,0,23,20,0,0,16,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0
Ch40,23,20,0,0,23,20,0,0,16,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0
Ch44,23,20,0,0,23,20,0,0,16,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0
Ch48,23,20,0,0,23,20,0,0,16,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0
Ch52,23,20,0,0,23,20,0,0,16,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0
Ch56,23,20,0,0,23,20,0,0,16,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0
Ch60,23,20,0,0,23,20,0,0,16,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0,23,20,0,0,20,0,0,0,0,0,19,16,0,0,16,0,0,0,0,0
