# Backoff Power Limit Table (unit is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Ch188,18.5,15.5,0,0,18.5,15.5,0,0,15.5,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,14.5,0,0,14.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0
Ch192,18.5,15.5,0,0,18.5,15.5,0,0,15.5,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,14.5,0,0,14.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0
Ch196,18.5,15.5,0,0,18.5,15.5,0,0,15.5,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,14.5,0,0,14.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0
Ch8,18.5,15.5,0,0,18.5,15.5,0,0,15.5,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,14.5,0,0,14.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0
Ch12,18.5,15.5,0,0,18.5,15.5,0,0,15.5,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,14.5,0,0,14.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0
Ch16,18.5,15.5,0,0,18.5,15.5,0,0,15.5,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,14.5,0,0,14.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0
Ch36,18.5,15.5,0,0,18.5,15.5,0,0,15.5,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,14.5,0,0,14.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0
Ch40,18.5,15.5,0,0,18.5,15.5,0,0,15.5,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,14.5,0,0,14.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0
Ch44,18.5,15.5,0,0,18.5,15.5,0,0,15.5,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,14.5,0,0,14.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0
Ch48,18.5,15.5,0,0,18.5,15.5,0,0,15.5,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,14.5,0,0,14.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0,19.5,16.5,0,0,16.5,0,0,0,0,0,18.5,15.5,0,0,15.5,0,0,0,0,0
